Frequenza_Hz,Ampiezza_FRF,Fase_FRF_rad
183.038303830383,7.45519526965761e-06,0.0686720318473964
183.058305830583,7.4487660687728e-06,0.0686307606111987
183.078307830783,7.44234641744211e-06,0.0685895452422957
183.098309830983,7.43593629518079e-06,0.0685483856238082
183.118311831183,7.42953568156201e-06,0.0685072816391854
183.138313831383,7.42314455621657e-06,0.0684662331722039
183.158315831583,7.41676289883272e-06,0.0684252401069661
183.178317831783,7.41039068915595e-06,0.0683843023278995
183.198319831983,7.40402790698883e-06,0.0683434197197551
183.218321832183,7.39767453219072e-06,0.0683025921676066
183.238323832383,7.3913305446777e-06,0.0682618195568496
183.258325832583,7.38499592442226e-06,0.0682211017731994
183.278327832783,7.37867065145315e-06,0.0681804387026911
183.298329832983,7.37235470585519e-06,0.0681398302316778
183.318331833183,7.36604806776902e-06,0.0680992762468292
183.338333833383,7.35975071739103e-06,0.0680587766351316
183.358335833583,7.35346263497298e-06,0.0680183312838855
183.378337833783,7.34718380082201e-06,0.0679779400807057
183.398339833983,7.34091419530026e-06,0.0679376029135192
183.418341834183,7.33465379882482e-06,0.0678973196705645
183.438343834383,7.3284025918675e-06,0.067857090240391
183.458345834583,7.32216055495455e-06,0.0678169145118569
183.478347834783,7.31592766866664e-06,0.0677767923741293
183.498349834983,7.3097039136385e-06,0.067736723716682
183.518351835184,7.30348927055884e-06,0.0676967084292953
183.538353835384,7.29728372017015e-06,0.0676567464020545
183.558355835584,7.29108724326847e-06,0.0676168375253489
183.578357835784,7.28489982070324e-06,0.067576981689871
183.598359835984,7.27872143337712e-06,0.0675371787866149
183.618361836184,7.27255206224577e-06,0.067497428706876
183.638363836384,7.26639168831771e-06,0.0674577313422492
183.658365836584,7.26024029265412e-06,0.0674180865846285
183.678367836784,7.25409785636863e-06,0.0673784943262056
183.698369836984,7.24796436062719e-06,0.0673389544594691
183.718371837184,7.24183978664785e-06,0.067299466877203
183.738373837384,7.23572411570062e-06,0.0672600314724865
183.758375837584,7.22961732910725e-06,0.0672206481386922
183.778377837784,7.22351940824106e-06,0.0671813167694855
183.798379837984,7.2174303345268e-06,0.0671420372588237
183.818381838184,7.21135008944041e-06,0.0671028095009542
183.838383838384,7.20527865450893e-06,0.0670636333904151
183.858385838584,7.19921601131021e-06,0.0670245088220321
183.878387838784,7.19316214147288e-06,0.0669854356909197
183.898389838984,7.18711702667604e-06,0.0669464138924783
183.918391839184,7.18108064864915e-06,0.0669074433223944
183.938393839384,7.17505298917191e-06,0.0668685238766395
183.958395839584,7.16903403007393e-06,0.0668296554514684
183.978397839784,7.16302375323477e-06,0.0667908379434193
183.998399839984,7.15702214058357e-06,0.0667520712493118
184.018401840184,7.15102917409904e-06,0.0667133552662468
184.038403840384,7.14504483580919e-06,0.0666746898916049
184.058405840584,7.13906910779119e-06,0.0666360750230457
184.078407840784,7.13310197217125e-06,0.0665975105585073
184.098409840984,7.12714341112436e-06,0.0665589963962043
184.118411841184,7.12119340687419e-06,0.0665205324346277
184.138413841384,7.11525194169293e-06,0.066482118572544
184.158415841584,7.10931899790111e-06,0.0664437547089938
184.178417841784,7.10339455786738e-06,0.0664054407432909
184.198419841984,7.09747860400847e-06,0.0663671765750218
184.218421842184,7.09157111878891e-06,0.0663289621040444
184.238423842384,7.08567208472093e-06,0.0662907972304873
184.258425842584,7.07978148436429e-06,0.0662526818547487
